k;n;cmp;swap
1;1000;10951;5952
1;2000;26578;14150
1;3000;37887;18888
1;4000;56017;30180
1;5000;69241;33281
1;6000;84314;42982
1;7000;114933;61820
1;8000;126455;65790
1;9000;142591;72940
1;10000;158084;87178
1;11000;168609;90725
1;12000;191875;92711
1;13000;206463;118107
1;14000;237868;117787
1;15000;247131;128525
1;16000;261117;131827
1;17000;277771;140974
1;18000;302587;167363
1;19000;348080;201302
1;20000;327404;175819
1;21000;379572;185766
1;22000;377017;192983
1;23000;406646;227886
1;24000;407112;212670
1;25000;441326;223652
1;26000;506052;284979
1;27000;454169;215469
1;28000;521291;254435
1;29000;509864;250673
1;30000;532479;262974
1;31000;578319;263699
1;32000;565293;289206
1;33000;605978;327881
1;34000;582600;302180
1;35000;666010;298261
1;36000;665592;361548
1;37000;709519;366868
1;38000;695627;353363
1;39000;703620;353817
1;40000;719929;381264
1;41000;830900;439845
1;42000;805262;413458
1;43000;810428;415997
1;44000;834986;409200
1;45000;832621;455043
1;46000;847777;423871
1;47000;867542;461209
1;48000;952767;464856
1;49000;941306;504172
1;50000;915342;459900
10;1000;11139;5641
10;2000;24675;12634
10;3000;40189;20229
10;4000;56094;28619
10;5000;71235;36420
10;6000;87738;43657
10;7000;105574;53727
10;8000;126107;63029
10;9000;138915;68587
10;10000;158270;80472
10;11000;178564;89796
10;12000;189779;92544
10;13000;215477;109990
10;14000;229511;117852
10;15000;247081;128552
10;16000;274736;141606
10;17000;289542;149487
10;18000;301837;152817
10;19000;320783;160019
10;20000;344228;172961
10;21000;363944;183017
10;22000;384765;195281
10;23000;393390;197748
10;24000;414778;209579
10;25000;443418;227379
10;26000;448346;222058
10;27000;474205;246335
10;28000;492706;251258
10;29000;530061;267023
10;30000;539773;276563
10;31000;570255;285231
10;32000;584031;286892
10;33000;604749;300804
10;34000;609705;310825
10;35000;642457;315829
10;36000;661789;332041
10;37000;684019;357964
10;38000;697731;354004
10;39000;711715;354352
10;40000;738072;375386
10;41000;760083;388151
10;42000;780478;397915
10;43000;789346;399102
10;44000;824898;407962
10;45000;846122;435737
10;46000;851531;410118
10;47000;875816;445450
10;48000;898588;449392
10;49000;930702;466243
10;50000;944156;477539
100;1000;11170;5754
100;2000;25080;12896
100;3000;39904;20093
100;4000;55807;28525
100;5000;71990;36457
100;6000;87754;44428
100;7000;105419;53694
100;8000;122713;62143
100;9000;140293;72110
100;10000;157263;79192
100;11000;173114;87275
100;12000;193058;97268
100;13000;212444;107746
100;14000;230309;115871
100;15000;244779;123905
100;16000;259249;131939
100;17000;273719;139973
100;18000;304613;154167
100;19000;324402;164357
100;20000;344414;175190
100;21000;358606;182959
100;22000;381383;192819
100;23000;398522;203763
100;24000;420112;214679
100;25000;438493;221760
100;26000;458235;232052
100;27000;477876;241255
100;28000;494251;247590
100;29000;513628;262600
100;30000;538293;272140
100;31000;558136;278782
100;32000;578923;291923
100;33000;591950;298725
100;34000;621134;313607
100;35000;639615;325458
100;36000;659860;334639
100;37000;682088;346180
100;38000;699330;353542
100;39000;718343;362476
100;40000;744115;376578
100;41000;759216;383567
100;42000;781355;392194
100;43000;800122;404222
100;44000;814678;411499
100;45000;838537;425328
100;46000;862508;432268
100;47000;886223;445168
100;48000;893095;449748
100;49000;926834;468955
100;50000;946628;472024
