25;7;10;8.0
50;13;19;16.4
75;13;18;15.0
100;15;25;21.0
125;21;28;24.8
150;22;26;23.6
175;16;23;19.4
200;22;28;25.2
225;24;28;26.0
250;22;27;24.4
275;25;38;33.0
300;20;27;24.0
325;17;26;21.8
350;15;23;20.8
375;18;25;21.0
400;20;28;24.2
425;23;27;25.0
450;19;25;21.6
475;18;26;22.6
500;17;24;22.2
525;26;29;28.0
550;27;36;30.6
575;26;33;29.2
600;21;30;25.8
625;19;26;21.6
650;22;29;25.2
675;24;27;25.0
700;30;41;34.6
725;25;34;29.4
750;24;33;27.0
775;26;33;29.2
800;26;30;28.6
825;23;34;26.4
850;21;32;27.0
875;28;41;35.0
900;25;28;26.8
925;23;31;27.2
950;21;29;25.0
975;28;40;35.2
1000;27;35;30.6
1025;27;40;31.6
1050;29;36;33.6
1075;27;32;28.6
1100;32;39;34.4
1125;26;33;28.6
1150;26;38;31.8
1175;25;32;29.2
1200;29;38;31.8
1225;27;36;30.8
1250;27;35;32.0
1275;25;35;28.6
1300;31;37;32.6
1325;29;44;36.2
1350;36;45;40.4
1375;31;37;33.6
1400;30;34;32.6
1425;27;37;31.0
1450;29;37;32.8
1475;34;38;35.2
1500;32;40;35.8
1525;31;37;33.0
1550;30;37;33.2
1575;34;50;39.6
1600;31;45;36.0
1625;32;37;34.2
1650;33;44;38.0
1675;40;46;42.2
1700;31;42;37.2
1725;33;45;37.8
1750;30;34;32.4
1775;28;35;32.6
1800;32;42;38.0
1825;39;57;43.6
1850;31;39;35.0
1875;36;46;42.8
1900;35;38;36.6
1925;35;43;38.4
1950;31;43;37.0
1975;36;44;40.0
2000;36;43;38.8
2025;36;48;42.6
2050;36;41;37.8
2075;40;53;45.4
2100;32;44;37.8
2125;40;46;42.8
2150;36;46;40.4
2175;37;47;41.4
2200;36;46;39.2
2225;35;52;43.6
2250;36;52;45.2
2275;38;52;42.2
2300;35;41;37.8
2325;47;55;50.8
2350;37;47;42.4
2375;36;42;39.0
2400;40;46;42.0
2425;41;48;43.2
2450;37;49;42.2
2475;36;51;40.2
2500;37;51;41.8
2525;41;55;49.4
2550;39;48;43.8
2575;48;54;51.0
2600;37;46;41.8
2625;42;51;45.8
2650;40;50;44.4
2675;36;51;43.8
2700;44;52;48.2
2725;46;60;52.8
2750;44;62;51.8
2775;37;43;40.4
2800;41;53;47.8
2825;39;43;40.6
2850;42;53;45.8
2875;45;60;51.2
2900;44;57;50.2
2925;43;57;49.2
2950;43;57;48.0
2975;39;50;44.6
3000;47;54;50.6
3025;44;62;50.4
3050;46;58;52.4
3075;52;55;53.2
3100;46;61;53.8
3125;55;61;58.0
3150;45;51;47.6
3175;41;45;43.6
3200;45;50;47.0
3225;45;56;53.2
3250;47;62;56.4
3275;52;67;58.4
3300;47;62;55.2
3325;47;63;53.8
3350;50;52;50.8
3375;45;50;47.2
3400;48;65;56.0
3425;52;63;58.8
3450;48;58;53.8
3475;49;63;57.0
3500;49;56;51.4
3525;48;62;55.8
3550;49;62;53.6
3575;51;59;54.0
3600;56;72;61.2
3625;51;58;53.6
3650;52;61;57.0
3675;51;58;56.0
3700;54;64;58.8
3725;55;64;57.2
3750;55;73;60.2
3775;55;62;57.4
3800;56;70;60.0
3825;56;59;58.2
3850;54;70;62.6
3875;53;67;57.2
3900;57;60;58.4
3925;52;66;59.6
3950;57;63;61.0
3975;54;60;57.2
4000;56;78;66.2
4025;50;63;55.6
4050;52;59;55.6
4075;53;58;54.8
4100;50;56;53.0
4125;60;64;62.2
4150;56;72;63.6
4175;56;68;64.2
4200;59;65;62.2
4225;60;70;64.4
4250;62;86;71.0
4275;58;73;65.8
4300;64;69;66.8
4325;59;67;62.8
4350;61;71;65.2
4375;57;71;62.2
4400;59;70;63.2
4425;57;76;67.4
4450;57;66;60.2
4475;58;64;61.2
4500;60;70;65.6
4525;59;74;67.0
4550;62;68;65.6
4575;61;67;64.4
4600;59;66;62.2
